S&P 500 INDEX,Last: 5021.8398,Change:  -4.7702,,,,,,,,,,,,,
"Date: February 13, 2024 at 6:40 AM EST",Bid: 4953.0801,Ask: 5064.5601,Size: 1*1,Volume: 0,,,,,,,,,,,
Mon Feb 12 2024,SPXW240212C04720000,323.09,20.44,298.5,307.5,2,65,4720,SPXW240212P04720000,0.05,-0.075,0,0.05,1,678
Mon Feb 12 2024,SPXW240212C04725000,313.85,16.2,293.5,302.5,3,122,4725,SPXW240212P04725000,0.05,-0.075,0,0.05,1,2034
Mon Feb 12 2024,SPXW240212C04730000,290.88,-1.77,288.5,297.5,45,112,4730,SPXW240212P04730000,0.05,-0.075,0,0.05,10,467
Mon Feb 12 2024,SPXW240212C04735000,290.07,2.42,283.5,292.5,65,72,4735,SPXW240212P04735000,0.15,0,0,0.05,0,718
Mon Feb 12 2024,SPXW240212C04740000,308.4,25.75,278.5,287.5,17,54,4740,SPXW240212P04740000,0.05,-0.075,0,0.05,2,953
Mon Feb 12 2024,SPXW240212C04745000,280.91,3.21,273.5,282.5,15,17,4745,SPXW240212P04745000,0.2,0,0,0.05,0,1060
Mon Feb 12 2024,SPXW240212C04750000,269.58,-3.12,268.5,277.5,1451,1760,4750,SPXW240212P04750000,0.05,-0.075,0,0.05,14,3348
Mon Feb 12 2024,SPXW240212C04755000,270.87,3.17,263.5,272.5,12,30,4755,SPXW240212P04755000,0.15,0,0,0.05,0,669
Mon Feb 12 2024,SPXW240212C04760000,283.76,21.06,258.5,267.5,662,721,4760,SPXW240212P04760000,0.2,0,0,0.05,0,1673
Mon Feb 12 2024,SPXW240212C04765000,231.9,0,253.5,262.5,0,11,4765,SPXW240212P04765000,0.2,0,0,0.05,0,614
Mon Feb 12 2024,SPXW240212C04770000,252.43,-0.32,248.5,257.5,34,54,4770,SPXW240212P04770000,0.05,-0.075,0,0.05,1,3819
Mon Feb 12 2024,SPXW240212C04775000,249,1.25,243.5,252.5,7,67,4775,SPXW240212P04775000,0.05,-0.075,0,0.05,4,1484
Mon Feb 12 2024,SPXW240212C04780000,265.02,22.27,238.5,247.5,20,55,4780,SPXW240212P04780000,0.17,0,0,0.05,0,261
Mon Feb 12 2024,SPXW240212C04785000,262.3,24.55,233.5,242.5,7,10,4785,SPXW240212P04785000,0.2,0,0,0.05,0,524
Mon Feb 12 2024,SPXW240212C04790000,246.63,13.88,228.5,237.5,21,46,4790,SPXW240212P04790000,0.17,0,0,0.05,0,782
Mon Feb 12 2024,SPXW240212C04795000,234.35,6.6,223.5,232.5,2,18,4795,SPXW240212P04795000,0.05,-0.1,0,0.05,8,2329
Mon Feb 12 2024,SPXW240212C04800000,225.37,2.62,218.5,227.5,34,1715,4800,SPXW240212P04800000,0.05,-0.075,0,0.05,16,3031
Mon Feb 12 2024,SPXW240212C04805000,218.28,0.53,213.5,222.5,12,51,4805,SPXW240212P04805000,0.25,0,0,0.05,0,937
Mon Feb 12 2024,SPXW240212C04810000,236.9,24.15,208.5,217.5,3,61,4810,SPXW240212P04810000,0.05,-0.1,0,0.05,9,697
Mon Feb 12 2024,SPXW240212C04815000,232.87,25.12,203.5,212.5,4,23,4815,SPXW240212P04815000,0.2,0,0,0.05,0,394
Mon Feb 12 2024,SPXW240212C04820000,204.78,2.03,198.5,207.5,609,785,4820,SPXW240212P04820000,0.05,-0.1,0,0.05,5,1026
Mon Feb 12 2024,SPXW240212C04825000,217.55,19.8,193.5,202.5,6,51,4825,SPXW240212P04825000,0.25,0,0,0.05,0,769
Mon Feb 12 2024,SPXW240212C04830000,193.9,1.15,188.5,197.5,20,47,4830,SPXW240212P04830000,0.05,-0.125,0,0.05,103,1576
Mon Feb 12 2024,SPXW240212C04835000,163.05,0,183.5,192.5,0,61,4835,SPXW240212P04835000,0.05,-0.1,0,0.05,105,1119
Mon Feb 12 2024,SPXW240212C04840000,184.4,1.65,178.5,187.5,5,194,4840,SPXW240212P04840000,0.05,-0.125,0,0.05,24,919
Mon Feb 12 2024,SPXW240212C04845000,176.12,-1.63,173.5,182.5,1,20,4845,SPXW240212P04845000,0.05,-0.125,0,0.05,2,697
Mon Feb 12 2024,SPXW240212C04850000,168.35,-4.4,168.5,177.5,32,1910,4850,SPXW240212P04850000,0.05,-0.125,0,0.05,404,7102
Mon Feb 12 2024,SPXW240212C04855000,163.37,0,163.5,172.5,0,18,4855,SPXW240212P04855000,0.05,-0.125,0,0.05,5,715
Mon Feb 12 2024,SPXW240212C04860000,164.55,1.8,158.5,167.5,15,564,4860,SPXW240212P04860000,0.05,-0.125,0,0.05,173,2829
Mon Feb 12 2024,SPXW240212C04865000,155.83,-1.92,153.5,162.5,16,49,4865,SPXW240212P04865000,0.05,-0.125,0,0.05,530,3848
Mon Feb 12 2024,SPXW240212C04870000,155.25,2.5,148.5,157.5,32,307,4870,SPXW240212P04870000,0.05,-0.125,0,0.05,33,1003
Mon Feb 12 2024,SPXW240212C04875000,148.47,0.72,143.5,152.5,273,406,4875,SPXW240212P04875000,0.05,-0.15,0,0.05,14,4330
Mon Feb 12 2024,SPXW240212C04880000,141.09,-1.66,138.4,147.5,80,176,4880,SPXW240212P04880000,0.05,-0.15,0,0.05,68,645
Mon Feb 12 2024,SPXW240212C04885000,138.6,0.85,133.4,142.5,10,38,4885,SPXW240212P04885000,0.05,-0.175,0,0.05,285,2336
Mon Feb 12 2024,SPXW240212C04890000,130.38,-2.42,128.4,137.5,27,145,4890,SPXW240212P04890000,0.05,-0.175,0,0.05,110,1107
Mon Feb 12 2024,SPXW240212C04895000,130.34,2.54,123.4,132.5,206,299,4895,SPXW240212P04895000,0.05,-0.175,0,0.05,504,1459
Mon Feb 12 2024,SPXW240212C04900000,124.14,1.34,118.4,127.5,584,2984,4900,SPXW240212P04900000,0.05,-0.2,0,0.05,2209,7668
Mon Feb 12 2024,SPXW240212C04905000,119.35,1.5,113.4,122.5,7,85,4905,SPXW240212P04905000,0.05,-0.225,0,0.05,1026,1295
Mon Feb 12 2024,SPXW240212C04910000,111.03,-1.82,108.4,117.5,64,325,4910,SPXW240212P04910000,0.05,-0.225,0,0.05,2026,2722
Mon Feb 12 2024,SPXW240212C04915000,105.32,-2.28,104.2,111.5,126,185,4915,SPXW240212P04915000,0.05,-0.25,0,0.05,1169,1344
Mon Feb 12 2024,SPXW240212C04920000,105.17,2.32,99.2,106.5,152,215,4920,SPXW240212P04920000,0.05,-0.275,0,0.05,1004,1912
Mon Feb 12 2024,SPXW240212C04925000,98.12,0.42,94.2,101.5,117,1933,4925,SPXW240212P04925000,0.05,-0.325,0,0.05,1315,2055
Mon Feb 12 2024,SPXW240212C04930000,95.96,3.26,89.2,96.5,90,309,4930,SPXW240212P04930000,0.05,-0.375,0,0.05,3578,3148
Mon Feb 12 2024,SPXW240212C04935000,88.48,0.78,84.2,91.5,61,295,4935,SPXW240212P04935000,0.05,-0.4,0,0.05,2852,1734
Mon Feb 12 2024,SPXW240212C04940000,84.98,2.13,79.2,86.5,65,382,4940,SPXW240212P04940000,0.05,-0.475,0,0.05,4302,2969
Mon Feb 12 2024,SPXW240212C04945000,77.84,-0.31,74.2,81.5,67,328,4945,SPXW240212P04945000,0.05,-0.525,0,0.05,3573,7249
Mon Feb 12 2024,SPXW240212C04950000,74.14,1.09,69.2,76.5,512,4182,4950,SPXW240212P04950000,0.05,-0.575,0,0.05,3900,5727
Mon Feb 12 2024,SPXW240212C04955000,65.14,-3.16,64.2,71.5,31,189,4955,SPXW240212P04955000,0.05,-0.675,0,0.05,3852,3745
Mon Feb 12 2024,SPXW240212C04960000,63.32,-0.23,59.4,66.5,131,516,4960,SPXW240212P04960000,0.05,-0.8,0,0.05,3503,2821
Mon Feb 12 2024,SPXW240212C04965000,57.1,-1.65,54.4,61.5,77,277,4965,SPXW240212P04965000,0.05,-0.95,0,0.05,4535,2434
Mon Feb 12 2024,SPXW240212C04970000,55.3,1.35,49.4,56.5,224,900,4970,SPXW240212P04970000,0.05,-1.15,0,0.05,8388,3391
Mon Feb 12 2024,SPXW240212C04975000,45.07,-3.88,44.4,51.5,431,902,4975,SPXW240212P04975000,0.05,-1.375,0,0.05,10187,2320
Mon Feb 12 2024,SPXW240212C04980000,40.7,-3.55,39.4,46.5,411,863,4980,SPXW240212P04980000,0.05,-1.675,0,0.05,11741,2202
Mon Feb 12 2024,SPXW240212C04985000,35.6,-4.05,34.4,41.5,192,521,4985,SPXW240212P04985000,0.05,-2.075,0,0.05,14672,2708
Mon Feb 12 2024,SPXW240212C04990000,30.92,-4.13,29.4,36,395,546,4990,SPXW240212P04990000,0.05,-2.575,0,0.05,21395,2186
Mon Feb 12 2024,SPXW240212C04995000,25.9,-4.85,24.4,31.5,496,1127,4995,SPXW240212P04995000,0.05,-3.2,0,0.05,30726,1788
Mon Feb 12 2024,SPXW240212C05000000,22.5,-4.05,19.5,26.5,1946,3125,5000,SPXW240212P05000000,0.05,-4,0,0.05,44337,8534
Mon Feb 12 2024,SPXW240212C05005000,17.26,-5.34,14,21.5,1758,1188,5005,SPXW240212P05005000,0.05,-5.1,0,0.05,40065,2946
Mon Feb 12 2024,SPXW240212C05010000,11.3,-7.65,11.3,13.6,2293,1524,5010,SPXW240212P05010000,0.05,-6.4,0,0.05,66081,2007
Mon Feb 12 2024,SPXW240212C05015000,6.15,-9.4,5.8,8.5,6080,836,5015,SPXW240212P05015000,0.05,-8.05,0,0.05,77020,905
Mon Feb 12 2024,SPXW240212C05020000,1.7,-10.9,1.75,2.45,25957,1422,5020,SPXW240212P05020000,0.05,-10.1,0,0.05,101489,783
Mon Feb 12 2024,SPXW240212C05025000,0.05,-9.95,0,0.05,58754,2234,5025,SPXW240212P05025000,2.5,-10.05,2.5,3.5,85654,3110
Mon Feb 12 2024,SPXW240212C05030000,0.05,-7.8,0,0.05,74227,3935,5030,SPXW240212P05030000,7.45,-7.9,7,8.7,73203,1208
Mon Feb 12 2024,SPXW240212C05035000,0.05,-5.95,0,0.05,62590,2217,5035,SPXW240212P05035000,13.3,-5.25,12,15.6,38794,353
Mon Feb 12 2024,SPXW240212C05040000,0.05,-4.5,0,0.05,77702,2583,5040,SPXW240212P05040000,16.91,-5.14,14,20.6,31759,169
Mon Feb 12 2024,SPXW240212C05045000,0.05,-3.3,0,0.05,86276,3099,5045,SPXW240212P05045000,23.73,-1.97,21.5,25.6,19116,50
Mon Feb 12 2024,SPXW240212C05050000,0.05,-2.4,0,0.05,93060,5684,5050,SPXW240212P05050000,27.9,-2.05,25,30,13552,956
Mon Feb 12 2024,SPXW240212C05055000,0.05,-1.725,0,0.05,56351,2078,5055,SPXW240212P05055000,33.76,-0.54,28.5,35.6,2385,36
Mon Feb 12 2024,SPXW240212C05060000,0.05,-1.225,0,0.05,44071,3514,5060,SPXW240212P05060000,39,0.5,33.5,40.6,1452,24
Mon Feb 12 2024,SPXW240212C05065000,0.05,-0.85,0,0.05,30228,3183,5065,SPXW240212P05065000,45,1.85,38.5,45.6,713,34
Mon Feb 12 2024,SPXW240212C05070000,0.05,-0.625,0,0.05,25498,4044,5070,SPXW240212P05070000,44.54,-3.61,43.5,50.6,644,12
Mon Feb 12 2024,SPXW240212C05075000,0.05,-0.425,0,0.05,20623,3672,5075,SPXW240212P05075000,55.2,2.45,48.5,55.6,205,11
Mon Feb 12 2024,SPXW240212C05080000,0.05,-0.325,0,0.05,17793,3685,5080,SPXW240212P05080000,56.28,-1.57,53.5,60.6,216,5
Mon Feb 12 2024,SPXW240212C05085000,0.05,-0.25,0,0.05,7723,1439,5085,SPXW240212P05085000,62.8,0,58.5,65.6,51,11
Mon Feb 12 2024,SPXW240212C05090000,0.05,-0.2,0,0.05,7923,5845,5090,SPXW240212P05090000,66,-1.95,63.5,70.8,21,20
Mon Feb 12 2024,SPXW240212C05095000,0.05,-0.15,0,0.05,6167,1160,5095,SPXW240212P05095000,52.43,-20.37,68.5,75.8,2,0
Mon Feb 12 2024,SPXW240212C05100000,0.05,-0.125,0,0.05,8339,3010,5100,SPXW240212P05100000,65.67,-12.08,73.6,80.8,453,11
Mon Feb 12 2024,SPXW240212C05105000,0.05,-0.1,0,0.05,1889,1055,5105,SPXW240212P05105000,59.2,-23.6,78.6,85.8,7,0
Mon Feb 12 2024,SPXW240212C05110000,0.05,-0.075,0,0.05,1041,602,5110,SPXW240212P05110000,75.62,-12.18,83.6,90.8,2,0
Mon Feb 12 2024,SPXW240212C05115000,0.05,-0.075,0,0.05,49,336,5115,SPXW240212P05115000,78.84,-13.96,88.6,95.8,4,3
Mon Feb 12 2024,SPXW240212C05120000,0.05,-0.075,0,0.05,91,2213,5120,SPXW240212P05120000,83.7,-14.1,93.5,100.8,2,1
Mon Feb 12 2024,SPXW240212C05125000,0.05,-0.075,0,0.05,62,2615,5125,SPXW240212P05125000,101.01,-1.69,98.5,105.8,6,1
Mon Feb 12 2024,SPXW240212C05130000,0.05,-0.075,0,0.05,15,715,5130,SPXW240212P05130000,106.99,-0.71,103.5,110.8,6,5
Mon Feb 12 2024,SPXW240212C05135000,0.05,-0.075,0,0.05,2,1898,5135,SPXW240212P05135000,92.5,-20.15,108.5,115.8,1,0
Mon Feb 12 2024,SPXW240212C05140000,0.05,-0.075,0,0.05,31,1682,5140,SPXW240212P05140000,115.26,-2.19,112.5,121.5,19,17
Mon Feb 12 2024,SPXW240212C05145000,0.05,-0.05,0,0.05,47,71,5145,SPXW240212P05145000,101.8,-20.65,117.5,126.5,3,16
Mon Feb 12 2024,SPXW240212C05150000,0.05,-0.025,0,0.05,57,788,5150,SPXW240212P05150000,101.56,-25.89,122.5,131.5,11,9
Mon Feb 12 2024,SPXW240212C05155000,0.05,0.05,0,0.05,20,0,5155,SPXW240212P05155000,0,0,127.5,136.5,0,0
Mon Feb 12 2024,SPXW240212C05160000,0.05,-0.025,0,0.05,4,296,5160,SPXW240212P05160000,0,0,132.5,141.5,0,0
Mon Feb 12 2024,SPXW240212C05165000,0.05,0.05,0,0.05,1,0,5165,SPXW240212P05165000,0,0,137.5,146.5,0,0
Mon Feb 12 2024,SPXW240212C05170000,0.05,0,0,0.05,0,431,5170,SPXW240212P05170000,0,0,142.5,151.5,0,0
Mon Feb 12 2024,SPXW240212C05175000,0.05,0,0,0.05,0,1461,5175,SPXW240212P05175000,153.96,1.51,147.5,156.5,4,1
Mon Feb 12 2024,SPXW240212C05180000,0.05,0,0,0.05,0,235,5180,SPXW240212P05180000,142.53,-14.92,152.5,161.5,1,1
Mon Feb 12 2024,SPXW240212C05190000,0.05,0,0,0.05,0,594,5190,SPXW240212P05190000,0,0,162.5,171.5,0,0
Mon Feb 12 2024,SPXW240212C05200000,0.05,0,0,0.05,0,1651,5200,SPXW240212P05200000,162.58,-14.87,172.5,181.5,15,3
Mon Feb 12 2024,SPXW240212C05210000,0,0,0,0.05,0,0,5210,SPXW240212P05210000,0,0,182.5,191.5,0,0
Mon Feb 12 2024,SPXW240212C05220000,0,0,0,0.05,0,0,5220,SPXW240212P05220000,0,0,192.5,201.5,0,0
Mon Feb 12 2024,SPXW240212C05225000,0.05,0,0,0.05,0,1210,5225,SPXW240212P05225000,0,0,197.5,206.5,0,0
Mon Feb 12 2024,SPXW240212C05250000,0.05,0,0,0.05,0,2296,5250,SPXW240212P05250000,0,0,222.5,231.5,0,0
Mon Feb 12 2024,SPXW240212C05275000,0.05,0,0,0.05,0,845,5275,SPXW240212P05275000,0,0,247.5,256.5,0,0
Mon Feb 12 2024,SPXW240212C05300000,0.05,0,0,0.05,0,876,5300,SPXW240212P05300000,0,0,272.5,281.5,0,0
Mon Feb 12 2024,SPXW240212C05325000,0.05,0,0,0.05,0,25,5325,SPXW240212P05325000,0,0,297.5,306.5,0,0
Mon Feb 12 2024,SPXW240212C05350000,0.05,0.025,0,0.05,7,0,5350,SPXW240212P05350000,0,0,322.5,331.5,0,0
Mon Feb 12 2024,SPXW240212C05375000,0,0,0,0.05,0,0,5375,SPXW240212P05375000,0,0,347.5,356.5,0,0
Mon Feb 12 2024,SPXW240212C05400000,0.05,0,0,0.05,0,35,5400,SPXW240212P05400000,0,0,372.5,381.5,0,0
Mon Feb 12 2024,SPXW240212C05500000,0.05,0,0,0.05,0,31,5500,SPXW240212P05500000,0,0,472.5,481.5,0,0
Mon Feb 12 2024,SPXW240212C05600000,0.05,0,0,0.05,0,13,5600,SPXW240212P05600000,0,0,572.5,581.5,0,0
Mon Feb 12 2024,SPXW240212C05800000,0.1,0,0,0.05,0,11,5800,SPXW240212P05800000,772.94,0,772.5,781.5,0,11
Mon Feb 12 2024,SPXW240212C06000000,0.1,0,0,0.05,0,5,6000,SPXW240212P06000000,988.5,0,972.5,981.5,0,3
Mon Feb 12 2024,SPXW240212C06200000,0,0,0,0.05,0,0,6200,SPXW240212P06200000,0,0,1172.5,1181.5,0,0
Mon Feb 12 2024,SPXW240212C06400000,0.05,0.025,0,0.05,2,1,6400,SPXW240212P06400000,1375,0,1372.5,1381.5,0,7
Tue Feb 13 2024,SPXW240213C01200000,0,0,3801.4,3808.4,0,6,1200,SPXW240213P01200000,0,0,0,0.05,0,0
Tue Feb 13 2024,SPXW240213C01400000,0,0,3601.4,3608.4,0,2,1400,SPXW240213P01400000,0,0,0,0.05,0,0
